Estado;Regiao;Municipio;Subsecao_Judiciaria TRF;Atuacao_DPU;DPU_Presencial;DPU_Remoto
SANTA CATARINA;SUL;NOVA VENEZA_SC;CRICIUMA;SIM;SIM;SIM
RIO GRANDE DO SUL;SUL;SALVADOR DO SUL_RS;PORTO ALEGRE;SIM;SIM;SIM
SANTA CATARINA;SUL;COCAL DO SUL_SC;CRICIUMA;SIM;SIM;SIM
SANTA CATARINA;SUL;URUSSANGA_SC;CRICIUMA;SIM;SIM;SIM
PARANA;SUL;MATELANDIA_PR;CASCAVEL;SIM;SIM;SIM
RIO GRANDE DO SUL;SUL;TUPANDI_RS;SANTO ANGELO;SIM;SIM;SIM
MINAS GERAIS;SUDESTE;ITABIRITO_MG;BELO HORIZONTE;SIM;SIM;SIM
SAO PAULO;SUDESTE;VINHEDO_SP;CAMPINAS;SIM;SIM;SIM
SAO PAULO;SUDESTE;INDAIATUBA_SP;CAMPINAS;SIM;SIM;SIM
MINAS GERAIS;SUDESTE;OURO BRANCO_MG;BELO HORIZONTE;SIM;SIM;SIM
MINAS GERAIS;SUDESTE;CONCEICAO DO MATO DENTRO_MG;BELO HORIZONTE;SIM;SIM;SIM
SAO PAULO;SUDESTE;ALUMINIO_SP;SOROCABA;SIM;SIM;SIM
SAO PAULO;SUDESTE;SANTA ALBERTINA_SP;JALES;SIM;SIM;SIM
MINAS GERAIS;SUDESTE;NOVA LIMA_MG;BELO HORIZONTE;SIM;SIM;SIM
MATO GROSSO;CENTRO-OESTE;CAMPOS DE JULIO_MT;MATO GROSSO;SIM;SIM;SIM
SAO PAULO;SUDESTE;SAO CAETANO DO SUL_SP;SANTO ANDRE;SIM;SIM;SIM
PARA;NORTE;CANAA DOS CARAJAS_PA;MARABA;SIM;SIM;SIM
SAO PAULO;SUDESTE;JAGUARIUNA_SP;CAMPINAS;SIM;SIM;SIM
SAO PAULO;SUDESTE;CERQUILHO_SP;SOROCABA;SIM;SIM;SIM
