cod. ibge;Municipio;Familias;Pessoas;% relativo ao Censo 2022;IVCAD;NC;DPI;DCA;TQA;DR;CH
1100379;Alto Alegre dos Parecis;1.766;4.988;43,50%;0,272;0,416;0,132;0,043;0,652;0,173;0,218
5100300;Alto Araguaia;3.635;7.558;44,00%;0,266;0,37;0,091;0,029;0,648;0,33;0,126
4200754;Alto Bela Vista;119;312;16,80%;-;-;-;-;-;-;-
5100359;Alto Boa Vista;1.270;3.476;60,80%;0,311;0,415;0,141;0,09;0,647;0,334;0,24
3102050;Alto Caparaó;1.591;3.951;68,20%;0,278;0,332;0,1;0,047;0,688;0,387;0,114
2400703;Alto do Rodrigues;3.694;8.661;69,40%;0,274;0,314;0,058;0,083;0,68;0,404;0,105
4300570;Alto Feliz;124;297;9,70%;-;-;-;-;-;-;-
5100409;Alto Garças;2.915;6.119;46,90%;0,289;0,396;0,084;0,098;0,622;0,381;0,154
5200555;Alto Horizonte;2.003;4.708;77,50%;0,27;0,397;0,066;0,041;0,586;0,385;0,142
3153509;Alto Jequitibá;2.071;5.089;60,60%;0,259;0,332;0,106;0,047;0,649;0,243;0,176
2200301;Alto Longá;4.797;9.573;71,00%;0,31;0,241;0,047;0,047;0,641;0,468;0,413
5100508;Alto Paraguai;2.629;5.314;66,40%;0,3;0,341;0,089;0,049;0,638;0,471;0,21
1100403;Alto Paraíso;3.714;9.263;56,80%;0,294;0,381;0,118;0,038;0,687;0,298;0,24
4128625;Alto Paraíso;752;1.905;62,40%;0,278;0,41;0,099;0,065;0,645;0,334;0,119
5200605;Alto Paraíso de Goiás;2.757;5.941;57,60%;0,3;0,373;0,097;0,035;0,614;0,463;0,218
4100608;Alto Paraná;2.561;6.373;45,80%;0,29;0,403;0,111;0,116;0,664;0,337;0,106
2100501;Alto Parnaíba;3.044;7.914;71,20%;0,31;0,377;0,112;0,049;0,663;0,41;0,248
4100707;Alto Piquiri;2.240;5.327;54,80%;0,285;0,448;0,102;0,071;0,635;0,325;0,128
3102100;Alto Rio Doce;2.618;6.447;59,20%;0,264;0,279;0,051;0,012;0,704;0,388;0,148
3200359;Alto Rio Novo;2.196;5.283;71,10%;0,291;0,298;0,074;0,044;0,719;0,457;0,157
2300705;Alto Santo;5.264;11.635;82,20%;0,273;0,299;0,052;0,053;0,656;0,413;0,165
5100607;Alto Taquari;1.790;4.473;41,00%;0,273;0,435;0,093;0,089;0,621;0,293;0,106
4100509;Altônia;2.404;5.886;31,40%;0,257;0,408;0,078;0,08;0,603;0,257;0,117
2200400;Altos;11.431;29.025;61,20%;0,272;0,355;0,077;0,026;0,629;0,392;0,151
3501152;Alumínio;1.320;3.451;19,90%;0,268;0,423;0,073;0,051;0,596;0,342;0,124
1300029;Alvarães;4.830;14.156;89,20%;0,3;0,409;0,113;0,047;0,597;0,417;0,214
3102209;Alvarenga;1.357;3.364;84,60%;0,339;0,372;0,093;0,037;0,686;0,415;0,433
3501202;Álvares Florence;789;1.718;43,90%;0,261;0,36;0,048;0,049;0,603;0,392;0,118
3501301;Álvares Machado;4.118;9.903;36,30%;0,263;0,395;0,067;0,037;0,61;0,392;0,077
3501400;Álvaro de Carvalho;775;1.873;39,00%;0,267;0,385;0,071;0,088;0,622;0,367;0,07
3501509;Alvinlândia;573;1.479;51,30%;0,257;0,366;0,06;0,093;0,597;0,35;0,078
3102308;Alvinópolis;2.966;6.747;44,80%;0,261;0,336;0,065;0,052;0,618;0,385;0,11
4300604;Alvorada;31.493;74.306;39,70%;0,284;0,445;0,119;0,053;0,612;0,367;0,107
