cod. ibge;ano;pib;impostos_liquidos;va;va_agropecuaria;va_industria;va_servicos;va_adespss
2904704;2021;208933;21423;187510;24318;8726;86036;68430
2900207;2021;208558;17074;191483;25260;11225;67174;87825
1400282;2021;208477;4097;204380;38618;5929;24505;135327
3502002;2021;208314;9487;198827;46531;55495;61450;35352
2405702;2021;207993;20801;187192;17299;30304;68529;71061
2301307;2021;207982;7662;200319;36361;8032;48531;107395
2701308;2021;207869;5706;202163;38159;5459;47588;110957
2100709;2021;207643;10103;197540;47951;5317;46535;97737
3154200;2021;207535;12802;194734;48273;18135;76519;51805
4306957;2021;207516;11116;196400;51457;91376;30195;23373
4314027;2021;207384;11732;195652;87615;6396;56385;45256
2912905;2021;207383;12402;194980;39816;14227;67038;73899
3112406;2021;207280;11335;195944;90841;15342;53409;36353
2106326;2021;207076;16633;190443;28033;18324;69631;74454
1303007;2021;207005;8477;198529;27468;9860;41754;119447
2912103;2021;206801;10162;196639;19131;9745;76505;91259
2917805;2021;206756;14238;192518;64422;8306;37064;82726
1501600;2021;206682;35954;170728;27274;53348;25644;64461
2804102;2021;206468;12627;193842;82672;7106;41986;62078
2507101;2021;206433;10783;195650;30029;7069;57230;101322
2502151;2021;206387;25245;181142;15345;83351;38510;43936
2511301;2021;206302;13996;192307;18692;10249;71478;91887
5219803;2021;206245;7951;198293;67576;31190;40161;59367
2909604;2021;206124;10443;195681;35018;8742;58850;93071
3165305;2021;206110;19619;186491;55556;26963;65977;37995
3168804;2021;205707;15956;189751;7230;15311;123483;43727
1304302;2021;205656;7057;198599;51040;10449;37696;99414
3534005;2021;205636;17435;188201;43061;22136;95643;27361
3515608;2021;205594;14027;191567;61991;25277;70717;33581
4106704;2021;205363;7986;197376;137157;5345;29579;25295
5219407;2021;204953;16437;188516;75633;7640;64791;40452
2920007;2021;204931;19217;185714;33537;39502;64461;48214
1707306;2021;204765;7172;197593;130341;6427;22135;38690
4303673;2021;204702;14412;190290;113111;17513;32824;26842
4322905;2021;204581;8055;196526;108404;10096;48725;29302
5221502;2021;204383;7577;196806;127992;7684;34623;26507
2501005;2021;204298;11687;192611;13816;8591;55811;114393
3550001;2021;204219;12002;192217;24929;12157;97556;57574
2707800;2021;204122;2665;201458;125267;3456;26399;46335
3149200;2021;204115;17887;186229;92550;6370;59983;27325
4111555;2021;203948;13385;190563;46070;42339;58865;43289
3551108;2021;203911;16058;187853;41315;30057;67774;48707
4201653;2021;203863;20315;183548;47415;89090;28716;18326
4200804;2021;203784;13900;189884;64150;34189;56847;34698
3204807;2021;203596;12458;191138;26777;42193;63287;58881
2516102;2021;203480;13644;189836;26852;12572;67107;83305
1706001;2021;203473;16558;186915;87040;8371;46207;45298
4305173;2021;203183;13543;189640;58730;9902;53907;67101
3153608;2021;203136;26882;176253;3365;50832;70165;51892
